Column,Null?,Type
MOVIE_NAME, - ,VARCHAR2(255)
MOVIE_DESC, - ,VARCHAR2(1000)
RELEASE_DATE, - ,DATE
MOVIE_DURATION, - ,NUMBER
COVER_PHOTO_URL, - ,BLOB
TRAILER_URL, - ,VARCHAR2(500)
LANGUAGE, - ,VARCHAR2(20)
